"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1125465","0","COMMUNITY EDUCATION FORUM","BISHOP CREIGHTON HOUSE, 374-380 LILLIE ROAD, LONDON","SW6 7PH","Hammersmith","07830514452","","www.cefuk.co.uk","31/03/2020","46654.0","45347.0","Registered","Other","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","We work with:Ethnic Minorities and socio-economically disadvantaged groups including, refugees and asylum seekersWe Provide: Supplementary Schooling Education, Info, Advice, Support, Advocacy & MediationWe Support: Housing, Health, Social Welfare Education, Training, Employment, Personal Development & Sustainable Community DevelopmentWe we work:  Hammersmith & Fulham,and through out London.","TO ADVANCE EDUCATION FOR THE PUBLIC BENEFIT IN PARTICULAR OF CHILDREN, YOUNG PEOPLE, ETHNIC MINORITIES, REFUGEES, ASYLUM SEEKERS AND OTHER MEMBERS OF THE PUBLIC SUFFERING SOCIAL OR ECONOMIC DISADVANTAGES.
TO FURTHER OTHER SUCH EXCLUSIVELY CHARITABLE PURPOSES UNDER THE LAW OF ENGLAND AND WALES AS THE TRUSTEES SHALL DETERMINE."
"1100159","0","THE OASIS RESOURCE CENTRE","ZENITH HOUSE, 210 CHURCH ROAD, LEYTON, LONDON","E10 7JQ","Walthamstow","07404763316","o.resourcecentre@hotmail.co.uk","","31/03/2020","24979.0","25101.0","Registered","Other","Makes Grants To Organisations, Provides Other Finance, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Accommodation/housing, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","To relieve poverty, hardship and distress among disadvantaged and socially excluded groups by providing information, advice, sign posting and referral representation, and to advance the education of said beneficiaries by any lawful charitable means. To provide and assist in the provision of facilities for education, recreation, leisure time occupation in the interest of social welfare","TO RELIEVE NEED AMONGST IMMIGRANTS AND REFUGEES, PARTICULARLY CONGOLESE AND OTHER FRENCH SPEAKING REFUGEES, BY THE PROVISION OF ADVICE, ADVOCACY, INFORMATION AND TRANSLATION SERVICES; TO ADVANCE EDUCATION. (A) THE ADVANCEMENT OF EDUCATION, (B) THE RELIEF OF PERSONS WHO ARE IN CONDITIONS OF POVERTY, SICKNESS, BY PROVIDING SUCH PERSONS WITH ADVICE, REPRESENTATION, TRANSLATION AND INTERPRETING SERVICES AND OTHER ASSISTANCE IN MATTERS SUCH AS IMMIGRATION, MONEY, DEBTS, WELFARE BENEFITS, HOUSING, HEALTH, EDUCATION, TRAINING AND EMPLOYMENT, IN ORDER THAT THEY MAY PARTICIPATE FULLY IN SOCIETY"
"1163036","0","UKRAINE CHARITY","KEMP HOUSE, 152-160 CITY ROAD, LONDON","EC1V 2NX","Islington South and Finsbury","02031511215","ideas@ukrainecharity.org","www.ukrainecharity.org","31/03/2020","34716.0","25758.0","Registered","CIO","Makes Grants To Individuals, Makes Grants To Organisations, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","Ukraine Charity raises funds to support projects (e.g. refurbishment of orphanages, modern medical devices for hospitals, educational programs for orphaned or disabled children) that further the purposes we have set out for the charity.","(1)	THE ADVANCEMENT OF EDUCATION:
(A)	IN UKRAINIAN HISTORY, LANGUAGE AND CULTURE IN THE UK AND IN UKRAINE;
(B)	IN THE LEGAL RIGHTS AND ENTITLEMENTS OF CITIZENS OF UKRAINE; 
(C)	BY PROVIDING AND ASSISTING IN THE PROVISION OF RESOURCES AND FACILITIES FOR EDUCATION, IN PARTICULAR BUT NOT EXCLUSIVELY FOR, CHILDREN IN SCHOOLS AND ORPHANAGES IN UKRAINE; 
(2)	THE ADVANCEMENT OF HEALTH OF PEOPLE IN UKRAINE; AND
(3)	THE RELIEF OF THOSE IN NEED BECAUSE OF ILL-HEALTH, DISABILITY, FINANCIAL HARDSHIP OR OTHER DISADVANTAGE."
"1132226","0","CARE VOCATIONAL","314 High Road, Tottenham, LONDON","N15 4BN","Tottenham","0208520 7018","carevocational@AOL.COM","www.carevocational.org.uk","31/12/2019","7500.0","6200.0","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Animals, Environment/conservation/heritage, Economic/community Development/employment, Armed Forces/emergency Service Efficiency, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","General Charitable Purposes
Education/Training
Medical/Health/Sickness
Disability
Relief of Poverty
Accommodation/Housing
Arts/culture
Sport/recreation
Environment/Conservation/Heritage
Economic/Community development/Employment/christian work shops / seminars/events","The objects of the Church (¶the Objects÷) are for the benefit of the public:
(a) to advance the Christian faith in accordance with the Statement in such ways and in such parts of the United Kingdom or the world as the Church Council from time to time may think fit;
(b) to relieve sickness and financial hardship and to promote and preserve good health by the provision of funds, goods or services of any kind including through the provision of counselling and support in such parts of the United Kingdom or the world as the Church Council from time to time think fit; and
(c) to advance education in such ways and in such parts of the United Kingdom or the world as the Church Council form time to time may think fit."
"1115367","0","YOURSTORY LTD","125 Lambeth Walk, Kennington, London","SE11 6EE","Vauxhall","02077939797","info@yourstory.org.uk","www.yourstory.org.uk","31/12/2019","214805.0","212815.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Recreation","Children/young People, People With Disabilities, Other Defined Groups, The General Public/mankind","We provide mentoring, education and employment support for young people.
We help to improve the emotional well-being of young people and their families.
We support them to lead happy, meaningful and engaged lives and to do the best they can.
We provide strong values and a warm professional environment.
We work to our strengths and support each other to address our weaknesses.","1) TO PROMOTE BY ALL CHARITABLE MEANS THE MENTAL, SPIRITUAL, MORAL AND PHYSICAL DEVELOPMENT AND IMPROVEMENT OF YOUNG PEOPLE AND OTHERS WHO LIVE IN LONDON OR OTHER PARTS OF THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, AND TO PROVIDE OPPORTUNITIES FOR THEM TO DEVELOP THEIR FULL CAPACITIES AND ENABLE THEM TO BECOME RESPONSIBLE MEMBERS OF SOCIETY SO THAT THEIR CONDITIONS OF LIFE MAY BE IMPROVED; AND
2) TO PROVIDE FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION IN THE INTERESTS OF SOCIAL WELFARE AND WITH THE OBJECT OF IMPROVING CONDITIONS OF LIFE."
"1140716","0","STIFFORD CENTRE LIMITED","2-6 CRESSY PLACE, STEPNEY GREEN, LONDON","E1 3JG","Bethnal Green and Bow","02077903632","info@stifford.org.uk","www.stifford.org.uk","31/03/2020","279300.0","282024.0","Registered","Charitable company","Provides Other Finance, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Amateur Sport, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","Stifford provides a diversity of structured and comprehensive range of services including Health awareness, fitness and wellbeing; Information, Advice & Guidance; Education, Employment & Training; Youth Activities; Study Support; Supplementary School; Women?s Empowerment Programme; Older People?s Services; Volunteering Programme; Digital Literacy Training; Community Cohesion Programme.","1) TO ADVANCE, ENHANCE AND PROMOTE DEVELOPMENTAL OPPORTUNITIES TO INDIVIDUALS, AND IMPROVE ENVIRONMENTAL ISSUES IN LOCAL URBAN OR RURAL REGENERATION AREAS, OF SOCIAL AND ECONOMIC DEPRIVATION IN GREATER LONDON AND/OR SURROUNDING AREAS  IRRESPECTIVE OF RACE, SEX OR SEXUAL ORIENTATION, RELIGION, POLITICAL OR OTHER SOCIAL GROUP.
2) BY ASSOCIATING TOGETHER THE SAID INHABITANTS AND THE LOCAL AUTHORITIES, VOLUNTARY AND OTHER ORGANISATIONS IN A COMMON EFFORT TO ADVANCE EDUCATION AND PROVIDE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE FOR RECREATION AND LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS
3) TO ESTABLISH, OR SECURE THE ESTABLISHMENT OF A COMMUNITY CENTRE AND TO MAINTAIN AND MANAGE THE SAME (WHETHER ALONE OR IN CO-OPERATION WITH ANY LOCAL AUTHORITY OR OTHER PERSON OR BODY)."
"1162019","0","DIVERSITY VOICE","Victoria Park Community Centre, Victoria Park Drive, Bridgwater","TA6 7AS","Bridgwater and West Somerset","03000750105","Admin@diversityvoice.org.uk","Www.diversityvoice.org","31/03/2020","230426.0","191403.0","Registered","CIO","Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, Disability, Accommodation/housing, Arts/culture/heritage/science, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","We organise social and cultural events and initiatives to broaden cultural awareness and diversity, as well as to help social integration and inclusion such as festivals, exhibitions and activities. Diversity Voice offer a welfare rights, employment, housing advisory service in many languages for the BME communities. We provide translation and interpretation services, Community English Classes","TO PROMOTE SOCIAL INCLUSION FOR THE PUBLIC BENEFIT BY PREVENTING PEOPLE FROM BECOMING SOCIALLY EXCLUDED, RELIEVING THE NEEDS OF THOSE PEOPLE WHO ARE SOCIALLY EXCLUDED AND ASSISTING THEM TO INTEGRATE INTO SOCIETY.
FOR THE PURPOSE OF THIS CLAUSE ‘SOCIALLY EXCLUDED’MEANS BEING EXCLUDED FROM SOCIETY, OR PART OF SOCIETY, AS A RESULT OF RACE OR ETHNIC ORIGIN."
"1055762","0","MARTIN SHAW KING TRUST","127 SUDBOURNE ROAD, LONDON","SW2 5AF","Streatham","02079789431","cbking@hotmail.co.uk","msktbaca.wordpress.com","31/01/2021","2300.0","1900.0","Registered","Other","Provides Human Resources, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, Disability, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","To offer social, educational and sporting opportunities for disadvantaged communities.To advance the development of Black and Asian Coaches.To develop equality in coaching","(1) FOR THE ADVANCEMENT OF THE EDUCATION OF THE PUBLIC PARTICULARLY IN THE SUBJECTS OF JOURNALISM, MEDIA STUDIES AND SPORTS COACHING, SO THAT THOSE MEMBERS OF THE PUBLIC WHOSE EDUCATION IS ADVANCED MAY BE ABLE TO SECURE EMPLOYMENT  (2) FOR THE ADVANCEMENT OF THE PHYSICAL EDUCATION OF CHILDREN AND YOUNG PEOPLE UP TO EIGHTEEN YEARS OF AGE WITH PARTICULAR EMPHASIS ON FOOTBALL AND TO PROVIDE AND ASSIST IN THE PROVISION OF FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION FOR SUCH CHILDREN AND YOUNG PEOPLE WITH THE OBJECT OF IMPROVING THEIR CONDITIONS OF LIFE"
"1120254","0","SKILLS ENTERPRISE LIMITED","SKILLS ENTERPRISE, BONNY DOWNS CHURCH CENTRE, 18 DARWELL CLOSE, EAST HAM, LONDON","E6 6BT","East Ham","02084709838","","www.skillsenterprise.co.uk","31/03/2020","103076.0","86119.0","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Acts As An Umbrella Or Resource Body, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","1. To provide employment oriented training and support 2.To help community organisations by providing ICT training,marketing services and also identifying their needs to reach community.3. Deliver activities to improve health,well being and quality of life of people.4.To deliver advocacy,information and guidance sessions for the public in need","3.  THE CHARITY'S OBJECTS (""THE OBJECTS"")ARE 
3.1  THESE ARE OUR OBJECTS
1.  TO PROMOTE THE VOLUNTARY SECTOR FOR THE BENEFIT OF THE PUBLIC IN ALL LONDON BOROUGHS AND THE UNITED KINGDOM WIDE BY:
A.  PROVIDING TRAINING (IN PARTICULAR BUT NOT EXCLUSIVELY IN ICT AND RELATED TECHNOLOGIES), CONFERENCES AND SEMINARS ON SUBJECTS RELEVANT TO THE EFFICIENCY OF THE VOLUNTARY SECTOR;
B.  IDENTIFYING NEEDS IN THE VOLUNTARY SECTOR AND ESTABLISHING PROJECTS OR POLICIES TO ADDRESS THEM;
C.  ESTABLISHING NETWORKS;
D.  DEVELOPING THEIR WEB SITES TO PROMOTE THEIR SERVICES;
E.  HELPING THEM TO FORM A DATA BASE STRUCTURE FOR EFFICIENT SERVICE DELIVERY; AND 
F.  HARNESSING THE MARKETING AND PRINT POTENTIAL TO SUPPORT THE ORGANISATIONS COMMUNICATIONS NEEDS.
THE 'VOLUNTARY SECTOR' MEANS CHARITIES AND VOLUNTARY ORGANISATIONS. 
*  CHARITIES ARE ORGANISATIONS, WHICH ARE ESTABLISHED FOR EXCLUSIVELY CHARITABLE PURPOSES IN ACCORDANCE WITH THE LAW OF ENGLAND AND WALES.
*  VOLUNTARY ORGANISATIONS ARE INDEPENDENT ORGANISATIONS, WHICH ARE ESTABLISHED FOR PURPOSES THAT ADD VALUE TO THE COMMUNITY AS A WHOLE, OR A SIGNIFICANT SECTION OF THE COMMUNITY,   AND WHICH ARE NOT PERMITTED BY THEIR CONSTITUTION TO MAKE A PROFIT FOR PRIVATE DISTRIBUTION.  VOLUNTARY ORGANISATIONS DO NOT INCLUDE LOCAL GOVERNMENT OR OTHER STATUTORY AUTHORITIES.
2.  TO RELIEVE UNEMPLOYMENT AND TO ADVANCE EDUCATION AND TRAINING OF YOUNG PEOPLE AND THE ELDERLY BY PROVIDING ICT TRAINING AND INTERNET AWARENESS PROGRAMMES."
"1137085","0","WEST MIDLAND FOUNDATION","58C Hanbury Street, LONDON","E1 5JL","Bethnal Green and Bow","02077913531","Alawalifoundation2020@oulook.org","www.Alawali26foundation.org.com","30/06/2020","0.0","0.0","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Amateur Sport, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","WEST MIDLAND'S  FOUNDATION'S CHARITABLE OBJECTIVES;THE ADVANCEMENT OF EDUCATION-TRAINING AND EMPLOYMENT OPPORTUNITY. THE RELIEF OF POVERTY AND HARDSHIP A MANY PEOPLE LIVING IN BANGLADESH AND AROUND THE WORLD OF SHELTER- FOOD-HEALTH CARE-EDUCATION AND OTHER SUCH CHARITABLE SERVICES AS THE TRUSTEES FROM TIME TO TIME APPROPRIATE.","TO PROMOTE FOR THE CHARITY IN FURTHERING THE FOLLOWING OBJECTS: (""THE OBJECTS"")
TO PROMOTE THE BENEFIT OF PEOPLE IN BANGLADESH, IN PARTICULAR BUT NOT EXCLUSIVELY
ORPHANS AND THE POOR BY:
A. THE RELIEF OF POVERTY AND HARDSHIP AMONG PEOPLE LIVING IN BANGLADESH BY THE
PROVISION OF SHELTER FOOD HEALTH CARE EDUCATION AND OTHER SUCH CHARITABLE SERVICES
AS THE TRUSTEES FROM TIME TO TIME DEEM APPROPRIATE"
"900515","0","COURT COMMUNITY ASSOCIATION (TUFFLEY)","St Michaels Hall, Robert Raikes Avenue, Tuffley, Gloucester","GL4 0EB","Gloucester","07930689770","cca.jlayhe@yahoo.co.uk","","31/01/2020","0.0","0.0","Registered","Other","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, Disability, Religious Activities, Arts/culture/heritage/science, Economic/community Development/employment, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Fundraising for the Community.
Street Dancing run by Ambitions Dance & Drama
Keep Fit Classes 
Tuesday Evening Bingo 7-30p.m. til 9-45p.m.
Changing Creations Art Group for vulnerable and disabled people
Food Bank on Fridays
Hall Can be Hired for £12 per hour","(A) TO PROMOTE THE BENEFIT OF THE INHABITANTS OF TUFFLEY WARD AND THE NEIGHBOURHOOD WITHOUT DISTINCTION OF SEX, SEXUAL ORIENTATION, RACE OR OF POLITICAL, RELIGIOUS OR OTHER OPINIONS, BY ASSOCIATING TOGETHER THE SAID INHABITANTS AND THE LOCAL AUTHORITIES, VOLUNTARY AND OTHER ORGANISATIONS IN A COMMON EFFORT TO ADVANCE EDUCATION AND TO PROVIDE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE FOR RECREATION AND LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS. (B) TO ESTABLISH, OR SECURE THE ESTABLISHMENT OF A COMMUNITY CENTRE (HEREAFTER CALLED THE CENTRE) AND TO MAINTAIN AND MANAGE THE SAME (WHETHER ALONE OR IN CO-OPERATION WITH ANY LOCAL AUTHORITY OR OTHER PERSON OR BODY) IN FURTHERANCE OF THESE OBJECTS."
"1097475","0","ASHFORD PLACE","60 ASHFORD ROAD, CRICKLEWOOD, LONDON.","NW2 6TU","Brent Central","02082088590","info@ashfordplace.org.uk","www.ashfordplace.org.uk","31/03/2020","1133258.0","1098626.0","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups, The General Public/mankind","ASHFORD PLACE(FORMERLY KNOWN AS CRICKLEWOOD HOMELESS CONCERN), ESTABLISHED IN 1983 BY LOCAL RESIDENTS PROVIDES SUPPORT PROGRAMMES TO HELP PEOPLE REACH THEIR POTENTIAL. WE SUPPORT VULNERABLE PEOPLE TO BECOME ACTIVE CITIZENS IN THE COMMUNITY. OUR KEY SUPPORT PROGRAMMES ARE ROUGH SLEEPING OUTREACH, RESETTLEMENT, TRAINING & EMPLOYMENT SERVICES, AND HOUSING ADVICE AND SUPPORT,. ELDER & YOUTH ENGAGEMENT","The Charity's objects (the “Objects"") are the prevention and relief of poverty, homelessness and unemployment by the provision of advice, housing, practical assistance and by conducting of research into factors that contribute to them, the relief of those in need by reason of youth, ill-health, disability, financial hardship or other disadvantage by the provision of advice, accommodation and services, the advancement of health, well-being and social isolation by provision of advice and services and the promotion of beneficial activities for people in Cricklewood, the London Borough of Brent and throughout London."
"1035628","0","BRIDGE HOUSE ESTATES","CORPORATION OF LONDON, PO BOX 270, LONDON","EC2P 2EJ","Islington South and Finsbury","02073321395","karen.atkinson@cityoflondon.gov.uk","www.citybridgetrust.org.uk","31/03/2020","46600000.0","62800000.0","Registered","Other","Makes Grants To Organisations, Provides Other Finance, Provides Buildings/facilities/open Space","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Arts/culture/heritage/science, Environment/conservation/heritage, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","The maintenance and support of London Bridge, Southwark Bridge, Blackfriars Bridge, Tower Bridge and Millennium Bridge. Surplus income is used for charitable funding purposes benefiting the inhabitants of Greater London in such ways as the Trustee thinks fit.","THE MAINTENANCE AND SUPPORT OF LONDON BRIDGE, BLACKFRIARS BRIDGE, SOUTHWARK BRIDGE, TOWER BRIDGE AND THE MILLENNIUM BRIDGE. ANY SURPLUS INCOME TO BE APPLIED:  IN OR TOWARDS THE PROVISION OF TRANSPORT AND ACCESS TO IT FOR ELDERLY OR DISABLED PEOPLE IN THE GREATER LONDON AREA; AND, OR,  FOR OTHER CHARITABLE PURPOSES FOR THE GENERAL BENEFIT OF THE INHABITANTS OF GREATER LONDON IN SUCH WAYS AS THE TRUSTEES THINK FIT."
"1081731","0","GOSPEL LIGHT INTERNATIONAL MINISTRIES (NEW COVENANT GOSPEL CHURCH)","10 Kingsfield Terrace, Priory Road, DARTFORD","DA1 2BL","Dartford","07734785095","glorycentred@gmail.com","www.ncgc-glorycentre.org.uk","30/06/2020","9140.0","11970.0","Registered","Other","Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Religious Activities, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Recreation, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","We engage in various aspect of christian religious activities, general counselling, social and community enterprises including youth, children and women initiatives including leisure and befriending schemes. Poverty relief including information & advice about employment,education/training and other finance related issues. These are aimed at reaching the general public and mankind in general.","(A) TO ADVANCE THE CHRISTIAN FAITH IN ACCORDANCE WITH THE STATEMENT OF BELIEFS APPEARING IN THE SCHEDULE HERETO IN SOUTH LONDON AND IN SUCH OTHER PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT AND TO FULFIL SUCH OTHER PURPOSES WHICH ARE EXCLUSIVELY CHARITABLE ACCORDING TO THE LAW OF ENGLAND AND WALES AND ARE CONNECTED TO THE CHARITABLE WORK OF THE TRUST (B) TO RELIEVE PERSONS WHO ARE IN CONDITIONS OF NEED OR HARDSHIP OR WHO ARE AGED OR SICK AND TO RELIEVE THE DISTRESS CAUSED THEREBY IN THE SAID LOCATION AND IN SUCH OTHER PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES MAY FROM TIME TO TIME THINK FIT."
"1010433","0","MEDIA MATTERS MINISTRIES","17 Woodlands, WOKING","GU22 7RU","Woking","01932341349","mediamattersinfo@gmail.com","www.facebook.com/mediamattersministries","31/03/2020","13992.0","5659.0","Registered","Trust","Provides Human Resources, Provides Services, Acts As An Umbrella Or Resource Body","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Religious Activities, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Production of 'visual communications tools' for other charitable organisations and Media Matters productions for education, Christian training purposes and advocacy issues.
We work internationally.","UPON SUCH CHARITABLE TRUSTS AND FOR SUCH CHARITABLE PURPOSES AND IN SUCH MANNER AS THE TRUSTEES SHALL IN THEIR ABSOLUTE AND UNCONTROLLED DISCRETION FROM TIME TO TIME DETERMINE AND IN PARTICULAR (BUT WITHOUT PREDJUDICE TO THE GENERALITY OF THE FOREGOING) FOR THE FOLLOWING PURPOSES:- (1) THE ADVANCEMENT OF THE CHRISTIAN RELIGION EITHER IN THE UNITED KINGDOM OR OVERSEAS (2) THE ADVANCEMENT FOR THE PUBLIC BENEFIT OF RELIGIOUS OR OTHER EDUCATION (3) THE RELIEF OF THE POOR SICK OR DISABLED"
"1065216","0","CONGOLESE REFUGEE WOMEN ASSOCIATION","Applecart Arts, 170 Harold Road, LONDON","E13 0SE","West Ham","02084722805","CRWA59@GMAIL.COM","","31/03/2020","4634.0","2154.0","Registered","Other","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","ADVICE, INFORMATION AND GUIDANCE: THIS ACTIVITY ENABLES US TO ADDRESS POOR ACCESS TO SERVICES, AND RELIEVE DISTRESS CAUSED BY LACK OF INFORMATION. ADVOCACY: THE WORK INCLUDES ESCORT USERS TO DIFFERENT AGENCIES. SOCIAL CLUB FOR YOUNG PEOPLE, FAMILIES SUPPORT ACTIVITY.","1. TO RELIEVE NEED HARDSHIP AND DISTRESS OF ZAIREAN PEOPLE, PARTICULARLY NEWLY ARRIVED REFUGEES BY THE PROVISION OF A TRANSLATION SERVICE AND ADVICE REGARDING IMMIGRATION, SOCIAL AND WELFARE RIGHTS, HOUSING, COMMUNITY INTEGRATION, EDUCATION, TRAINING AND EMPLOYMENT 2. THE PRESERVATION AND PROTECTION OF HEALTH BY THE PROVISION OF ADVICE ON WOMEN'S HEALTH ISSUES. 3. THE PROVISION OF FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF THOSE PERSONS WHO HAVE NEED OF SUCH FACILITIES BY REASON OF THEIR YOUTH, AGE, INFIRMITY OR DISABLEMENT POVERTY OR SOCIAL AND ECONOMIC CIRCUMSTANCES."
